question_num,type,utterance,page,targetValue,csv_file,Answer
1751,3,how many v8 engines competed in the 1982 british formula one season?,1,8,203,Q1: Eight V8 engines competed in the 1982 British Formula One season.
4154,3,"how many entrants have names that contain the word ""team""?",1,3,203,"Q2: Three entrants have names that contain the word ""team"" (Team Ensign, Team Sanada, Team Peru)."
4420,3,name an entrant with no cosworth engines.,1,John Jordan,203,Q3: John Jordan is an entrant with no Cosworth engines.
5862,3,how many drivers use v8 engines?,1,8,203,Q4: Eight drivers use V8 engines.
5918,3,what is the total number of drivers listed?,1,10,203,Q5: The total number of drivers listed is ten.
7588,3,who is the only driver to use a v12 engine?,1,John Jordan,203,Q6: David Williams is the only driver to use a V12 engine.
7959,3,are there any other engines listed besides cosworth or brm?,1,no,203,"Q7: No, there are no other engines listed besides Cosworth or BRM."
12514,2,which is the only driver whose vehicle used a brm 202 v12 engine?,1,David Williams,203,Q8: David Williams is the only driver whose vehicle used a BRM 202 V12 engine.
12666,3,what is the last chassis listed?,1,FW07,203,Q9: The last chassis listed is the Fittipaldi F8 chassis.
151,3,which province in andalusia has the largest population?,3,Seville,203,A1: Seville has the largest population.
467,3,what province has the least population?,3,Huelva,203,A2: Huelva has the least population.
1927,3,does cadiz or granada have a laerger population?,3,Cadiz,203,A3: Cádiz has a larger population than Granada.
2010,3,how many provinces in andalusia have at least 100 municipalities?,3,4,203,A4: Two provinces in Andalusia have at least 100 municipalities: Granada (169) and Seville (105).
5535,1,what is the number of legal districts in almeria province?,3,8,203,A5: Almería has 8 legal districts.
5979,3,which province in andalusia has the highest density?,3,Málaga,203,A6: Málaga has the highest density.
6310,3,which province has the most legal districts?,3,Seville,203,A7: Seville has the most legal districts with 15.
7103,3,"which province has a lower population density, almeria or jaen?",3,Jaen,203,A8: Jaén has a lower population density than Almería.
7408,3,which province is the only province with a higher population than malaga?,3,Seville,203,A9: Seville is the only province with a higher population than Málaga.
8327,3,which province has the largest density in square miles?,3,Malaga,203,A10: Cádiz has the largest density in square miles.
10678,3,what is the province with the most municipalities?,3,Granada,203,A11: Granada has the most municipalities.
12336,3,the population of cadiz is how much greater than jaen?,3,"572,919",203,"A12: The population of Cádiz is 572,919 greater than Jaén."
12941,1,is almería or córdoba's density 72.4/km2?,3,Córdoba,203,A13: Both Almería and Córdoba have a density of 72.4 per km².
13643,2,how many municipalities exist in the province of cadiz?,3,44,203,A14: Cádiz has 44 municipalities.
98,3,how many received a gold or silver medal in cycling?,4,6,203,A1: Seven individuals received a gold or silver medal in cycling. - Gold: Brahim Asloum Félicia Ballanger (2 medals) Miguel Martinez Florian Rousseau Laurent Gané and Arnaud Tournant. - Silver: Florian Rousseau Marion Clignet.
1666,3,what was the total number of silver medals earned?,4,14,203,A2: The total number of silver medals earned is 16.
3848,3,how many medals did france win at the 2000 olympics?,4,37,203,A3: France won a total of 38 medals at the 2000 Olympics.
6856,3,how many earned their gold medals in rowing?,4,6,203,A4: Six individuals earned their gold medals in rowing. - Michel Andrieux Jean-Christophe Rolland Jean-Christophe Bette Xavier Dorfman Yves Hocdé Laurent Porchier.
8676,3,what sport won the most gold medals?,4,Cycling,203,A5: The sport that won the most gold medals for France was cycling with a total of six gold medals.
9052,3,which french competitor won the largest amount of medals in the 2000 summer olympics?,4,Florian Rousseau,203,A6: Florian Rousseau won the largest number of medals totaling three medals (2 gold 1 silver).
4288,3,what is the last competition listed on the table?,5,UEFA Europa League,203,Q1: The last competition listed on the table is the 2013-14 UEFA Europa League.
5249,3,who scored more points in the second round of the uefa cup?,5,Club Brugge,203,Q2: FC St. Gallen and Club Brugge both scored 2 goals in the second round of the 2000-2001 UEFA Cup.
7243,1,group a or group b in 2013-2014 uefa europa leauge,5,Group A,203,Q3: Group A
9558,3,what is the number of competitions listed on the table?,5,7,203,Q4: 12 competitions are listed on the table.
10240,3,what is the season listed after 2002?,5,2007,203,Q5: The season listed after 2002 is 2007.
10990,3,what was the last competition they took place in?,5,UEFA Europa League,203,Q6: The last competition they took place in was the 2013-14 UEFA Europa League.
11002,3,how many home games did st. gallen win?,5,5,203,Q7: FC St. Gallen won 5 home games.
12961,3,does each competition have an opponent listed?,5,yes,203,"Q8: Yes, each competition has an opponent listed."
13673,3,how many times did they make it to the first round?,5,3,203,Q9: FC St. Gallen made it to the first round 3 times.
816,3,what is the total number of international goals that holosko has scored?,6,13,203,"A1: The total number of international goals that Filip Hološko scored in the given matches is 0, as there is no mention of him scoring in any of the summaries provided."
2916,1,what is the name of the venue where the last competition was played?,6,"Štadión Antona Malatinského, Trnava, Slovakia",203,"A2: The name of the venue where the last competition was played is Štadión Zimný in Dubnica, Slovakia."
3574,3,what were the number of times san marino was an opponent?,6,2,203,A3: San Marino was an opponent two times in the matches described.
6607,3,against which team did holosko score the most goals?,6,San Marino,203,"A4: There is no record of Filip Hološko scoring against any team in the provided summaries, so it's not possible to determine against which team he scored the most goals."
7393,3,how many games were in uefa or world cup qualifying matches?,6,5,203,"A5: Five games were in UEFA or World Cup qualifying matches. These include the matches on 21 November 2007, 9 September 2009, 13 October 2007, 3 September 2010, and 16 November 2005."
7775,3,what was the first date of the first international competition?,6,16 November 2005,203,A6: The first date of the first international competition mentioned is 16 November 2005.
10249,1,how many goals were scored against spain on november 2005?,6,1,203,"A7: No goals were scored by Slovakia against Spain in the match on 16 November 2005; the match score was 1-0 in favor of Spain, ending in a 1-1 draw."
1318,3,how many singles did celine dion sing?,7,4,203,"A1: Céline Dion sang three singles listed in the French Top 100 singles of the 1990s: ""The Reason / My Heart Will Go On,"" ""Pour que tu m'aimes encore,"" and ""Un garçon pas comme les autres (Ziggy)."""
