index	Athlete	Nation	Olympics	Gold	Silver	Bronze	Total
0	Gillis Grafström	Sweden (SWE)	1920–1932	3	1	0	4
1	Evgeni Plushenko	Russia (RUS)	2002–2014	2	2	0	4
4	Artur Dmitriev / Natalia Mishkutenok	Unified Team (EUN)\n Russia (RUS)	1992–1998	2	1	0	3
5	Andrée Brunet / Pierre Brunet	France (FRA)	1924–1932	2	0	1	3
6	Ludmila Belousova / Oleg Protopopov	Soviet Union (URS)	1964–1968	2	0	0	2
7	Dick Button	United States (USA)	1948–1952	2	0	0	2
8	Ekaterina Gordeeva / Sergei Grinkov	Soviet Union (URS)\n Russia (RUS)	1988, 1994	2	0	0	2
9	Oksana Grishuk / Evgeny Platov	Russia (RUS)	1994–1998	2	0	0	2
10	Karl Schäfer	Austria (AUT)	1928–1936	2	0	0	2
11	Tatiana Volosozhar / Maxim Trankov	Russia (RUS)	2014	2	0	0	2
12	Katarina Witt	East Germany (GDR)	1984–1988	2	0	0	2
13	Tessa Virtue / Scott Moir	Canada (CAN)	2010-2014	1	2	0	3
14	Meryl Davis / Charlie White	United States (USA)	2010-2014	1	1	1	3
15	Marina Klimova / Sergei Ponomarenko	Unified Team (EUN)\n Soviet Union (URS)	1984–1992	1	1	1	3
16	Tenley Albright	United States (USA)	1952-1956	1	1	0	2
17	Elena Berezhnaya / Anton Sikharulidze	Russia (RUS)	1998-2002	1	1	0	2
18	Sjoukje Dijkstra	Netherlands (NED)	1960-1964	1	1	0	2
20	Ludowika Jakobsson / Walter Jakobsson	Finland (FIN)	1920-1924	1	1	0	2
25	David Jenkins	United States (USA)	1956-1960	1	0	1	2
28	Willy Böckl	Austria (AUT)	1924-1928	0	2	0	2
30	Patrick Chan	Canada (CAN)	2014	0	2	0	2
31	Marika Kilius / Hans-Jürgen Bäumler	Unified Team of Germany (EUA)	1960-1964	0	2	0	2
37	Irina Slutskaya	Russia (RUS)	2002-2006	0	1	1	2
38	Maya Usova / Alexander Zhulin	Unified Team (EUN)\n Russia (RUS)	1992-1994	0	1	1	2
40	Philippe Candeloro	France (FRA)	1994-1998	0	0	2	2
41	Manuela Groß / Uwe Kagelmann	East Germany (GDR)	1972-1976	0	0	2	2
42	Chen Lu	China (CHN)	1994-1998	0	0	2	2
43	Marianna Nagy / László Nagy	Hungary (HUN)	1952-1956	0	0	2	2
44	Patrick Péra	France (FRA)	1968-1972	0	0	2	2
