index	#	Date	Venue	Opponent	Score	Result	Competition
0	1.0	24 December 2005	Phang Nga, Thailand	Latvia	1–1	Draw	2005 King's Cup
1	2.0	26 March 2006	Chonburi, Thailand	Philippines	5–0	Win	Friendly
4	5.0	6 February 2008	Saitama, Japan	Japan	4–1	Loss	2010 FIFA World Cup Qualification
5	6.0	15 March 2008	Kunming, China	China PR	3–3	Draw	Friendly
8	9.0	20 May 2008	Bangkok, Thailand	Nepal	7–0	Win	Friendly
9	10.0	25 May 2008	Bangkok, Thailand	Iraq	2–1	Win	Friendly
10	11.0	2 June 2008	Bangkok, Thailand	Bahrain	2–3	Loss	2010 FIFA World Cup Qualification
11	12.0	20 December 2008	Bangkok, Thailand	Indonesia	2–1	Win	2008 AFF Suzuki Cup
12	13.0	18 July 2009	Bangkok, Thailand	Pakistan	4–0	Win	Friendly
16	17.0	26 January 2013	Chiangmai, Thailand	North Korea	2–2	Draw	2013 King's Cup
17	18.0	5 March 2014	Bangkok, Thailand	Lebanon	2–5	Loss	2015 AFC Asian Cup qualification
