index	Pos	Rider	Manufacturer	Time/Retired	Points
0	1	Max Biaggi	Aprilia	40:36.299	25.0
1	2	Marcellino Lucchi	Aprilia	+6.914	20.0
2	3	Ralf Waldmann	Honda	+18.294	16.0
4	5	Jürgen Fuchs	Honda	+31.617	11.0
5	6	Tetsuya Harada	Yamaha	+31.649	10.0
6	7	Jean-Philippe Ruggia	Honda	+31.683	9.0
7	8	Nobuatsu Aoki	Honda	+47.701	8.0
8	9	Luis d'Antin	Honda	+51.186	7.0
9	10	Cristiano Migliorati	Honda	+51.556	6.0
11	12	Eskil Suter	Aprilia	+51.613	4.0
12	13	Luca Boscoscuro	Aprilia	+51.617	3.0
13	14	Regis Laconi	Honda	+52.394	2.0
15	16	Sebastian Porto	Aprilia	+1:03.619	
16	17	Jamie Robinson	Aprilia	+1:06.917	
24	25	Christian Boudinot	Aprilia	+1:41.263	
26	27	Roberto Rolfo	Aprilia	+1 Lap	
28	Ret	Gianluigi Scalvini	Honda	Retirement	
29	Ret	Roberto Locatelli	Aprilia	Retirement	
30	Ret	Takeshi Tsujimura	Honda	Retirement	
