index	Stage	Date	Route	Terrain	Length	Winner
0	1	22 June	Rennes – Lisieux	Plain stage	215 km (134 mi)	Edward Sels (BEL)
1	2	23 June	Lisieux – Amiens	Plain stage	208 km (129 mi)	André Darrigade (FRA)
5	5	26 June	Metz – Freiburg	Plain stage	161 km (100 mi)	Willy Derboven (BEL)
6	6	27 June	Freiburg – Besançon	Plain stage	200 km (120 mi)	Henk Nijdam (NED)
7	7	28 June	Besançon – Thonon-les-Bains	Plain stage	195 km (121 mi)	Jan Janssen (NED)
8	8	29 June	Thonon-les-Bains – Briançon	Stage with mountain(s)	249 km (155 mi)	Federico Bahamontes (ESP)
9	9	30 June	Briançon – Monaco	Stage with mountain(s)	239 km (149 mi)	Jacques Anquetil (FRA)
11	10B	1 July	Hyères – Toulon	Individual time trial	21 km (13 mi)	Jacques Anquetil (FRA)
12	11	2 July	Toulon – Montpellier	Plain stage	250 km (160 mi)	Edward Sels (BEL)
15	14	6 July	Andorra – Toulouse	Stage with mountain(s)	186 km (116 mi)	Edward Sels (BEL)
16	15	7 July	Toulouse – Luchon	Stage with mountain(s)	203 km (126 mi)	Raymond Poulidor (FRA)
20	19	11 July	Bordeaux – Brive	Plain stage	215 km (134 mi)	Edward Sels (BEL)
22	21	13 July	Clermont-Ferrand – Orléans	Plain stage	311 km (193 mi)	Jean Stablinski (FRA)
23	22A	14 July	Orléans – Versailles	Plain stage	119 km (74 mi)	Benoni Beheyt (BEL)
24	22B	14 July	Versailles – Paris	Individual time trial	27 km (17 mi)	Jacques Anquetil (FRA)
