index	Star	Start\nyear	End\nyear	Maximum\nyear	Maximum\nmagnitude	Distance at\nmaximum (LY)	Current\ndistance	Current\nmagnitude
0	Epsilon Canis Majoris	...	-4,460,000	-4,700,000	-3.99	34.0	430.0	1.5
1	Beta Canis Majoris	-4,460,000	-3,700,000	-4,420,000	-3.65	37.0	500.0	1.99
5	Canopus (second time)	-950,000	-420,000	-950,000	-1.09	252.0	310.0	-0.72
7	Capella	-210,000	-160,000	-240,000	-0.82	27.9	42.2	0.08
8	Canopus (third time)	-160,000	-90,000	-160,000	-0.7	302.0	310.0	-0.72
9	Sirius (current)	-90,000	+210,000	+60,000	-1.64	7.8	8.6	-1.46
11	Canopus (fourth time)	+480,000	+990,000	+480,000	-0.4	346.0	310.0	-0.72
12	Beta Aurigae	+990,000	+1,150,000	+1,190,000	-0.4	28.5	82.1	1.9
13	Delta Scuti	+1,150,000	+1,330,000	+1,250,000	-1.84	9.2	187.0	4.72
16	NR Canis Majoris	+2,670,000	+3,050,000	+2,870,000	-0.88	14.0	280.0	5.6
17	Omicron Herculis	+3,050,000	+3,870,000	+3,470,000	-0.63	44.0	346.0	3.83
18	Beta Cygni	+3,870,000	...	+4,610,000	-0.52	80.0	390.0	3.18
