index	Representative	Title	From	To	Appointed by
0	William Shaler	Special Diplomatic Agent	1810	1812.0	James Madison
1	John H. Robinson	Special Diplomatic Agent	1812	1814.0	James Madison
4	Anthony Butler	Chargé d'Affaires	1829	1835.0	
5	William A. Slacum	Special Diplomatic Agent	1835	1836.0	Andrew Jackson
6	Powhatan Ellis	Chargé d'Affaires	1836		Andrew Jackson
7	Robert Greenhow	Special Diplomatic Agent	1837		
8	Powhatan Ellis	Minister	1839	1842.0	Martin Van Buren
9	Henry E. Lawrence	Special Diplomatic Agent	1842		John Tyler
10	Waddy Thompson, Jr.	Minister	1842	1844.0	John Tyler
11	Moses Yale Beach	Special Diplomatic Agent	1843		John Tyler
12	Gilbert L. Thompson	Special Diplomatic Agent	1844		John Tyler
14	John Slidell	Minister	1845		James K. Polk
15	David Conner	Special Diplomatic Agent	1846		James K. Polk
16	Nathan Clifford	Minister	1848	1849.0	James K. Polk
17	Robert P. Letcher	Minister	1849	1852.0	
18	Robert Greenhow	Special Diplomatic Agent	1850		
20	George W. Slacum	Special Diplomatic Agent	1851		Millard Fillmore
23	George E. Cooper	Special Diplomatic Agent	1853		
24	Christopher L. Ward	Special Diplomatic Agent	1853		
25	James Gadsden	Minister	1853	1856.0	
28	William M. Churchwell	Special Diplomatic Agent	1858		James Buchanan
30	Duff Green	Special Diplomatic Agent	1859		James Buchanan
33	Henry Roy de la Reintrie	Special Diplomatic Agent	1860		James Buchanan
34	John B. Weller	Minister	1860	1861.0	James Buchanan
37	Lewis D. Campbell	Minister	1866	1867.0	Andrew Johnson
41	John W. Foster	Minister	1873	1880.0	Ulysses S. Grant
43	Henry R. Jackson	Minister	1885	1886.0	
44	Thomas Courtland Manning	Minister	1886	1887.0	Grover Cleveland
45	Edward S. Bragg	Minister	1888	1889.0	Grover Cleveland
47	Isaac P. Gray	Minister	1893	1895.0	
