index	Title	Year	Director	Budget	Gross (worldwide)	Notes
0	Young Guns	1988	Christopher Cain	$11 million	$45,661,556	
1	Dead Ringers	1988	David Cronenberg		$8,038,508	
4	Renegades	1989	Jack Sholder		$9,015,164	
5	Enemies, a Love Story	1989	Paul Mazursky		$7,754,571	
6	Coupe de Ville	1990	Joe Roth		$715,983	
7	The Exorcist III	1990	William Peter Blatty	$11 million	$26,098,824	
8	Nightbreed	1990	Clive Barker	$11 million	$8,862,354	
9	Young Guns II	1990	Geoff Murphy		$44,143,410	
11	Robin Hood: Prince of Thieves	1991	Kevin Reynolds	$48 million	$390,493,908	The score would become the music for Morgan Creek's animated logo.
12	Freejack	1992	Geoff Murphy	$30 million	$17,129,000	
13	White Sands	1992	Roger Donaldson	$25 million	$9,011,574	
14	Stay Tuned	1992	Peter Hyams		$10,736,401	
15	The Last of the Mohicans	1992	Michael Mann	$40 million	$75,505,856	
16	The Crush	1993	Alan Shapiro		$13,609,396	
18	Ace Ventura: Pet Detective	1994	Tom Shadyac	$12 million	$107,217,396	
20	Chasers	1994	Dennis Hopper	$15 million	$1,596,687	
22	Imaginary Crimes	1994	Anthony Drazan		$89,611	
23	Silent Fall	1994	Bruce Beresford	$30 million	$3,180,674	
25	Two If by Sea	1996	Bill Bennett		$10,658,278	
28	Bad Moon	1996	Eric Red	$7 million	$1,055,525	
29	Wild America	1997	William Dear		$7,324,662	
30	Incognito	1998	John Badham			
32	Wrongfully Accused	1998	Pat Proft		$9,623,329	
34	The King and I	1999	Richard Rich	$25 million	$11,993,021	
37	The Whole Nine Yards	2000	Jonathan Lynn	$41.3 million	$106,371,651	
38	Battlefield Earth	2000	Roger Christian	$44 million	$29,725,663	
43	3000 Miles to Graceland	2001	Demian Lichtenstein	$62 million	$18,720,175	
45	American Outlaws	2001	Les Mayfield	$35 million	$13,342,790	
47	Juwanna Mann	2002	Jesse Vaughan	$15 million	$13,802,599	
49	Exorcist: The Beginning	2004	Renny Harlin	$80 million	$78,000,586	
51	Two for the Money	2005	D. J. Caruso	$25 million	$30,526,509	
54	Georgia Rule	2007	Garry Marshall	$20 million	$25,992,167	
55	Sydney White	2007	Joe Nussbaum		$13,620,075	
57	Dream House	2011	Jim Sheridan	$50 million	$38,502,340	
58	The Thing	2011	Matthijs van Heijningen Jr.	$38 million	$27,428,670	
59	Tupac	2014	Antoine Fuqua	$45 million		
