index	Athlete	Nation	Olympics	Gold	Silver	Bronze	Total
24	Marina Anissina / Gwendal Peizerat	France (FRA)	1998-2002	1	0	1	2
22	Shen Xue / Zhao Hongbo	China (CHN)	2002–2010	1	0	2	3
39	Isabelle Brasseur / Lloyd Eisler	Canada (CAN)	1992-1994	0	0	2	2
35	Nancy Kerrigan	United States (USA)	1992-1994	0	1	1	2
2	Sonja Henie	Norway (NOR)	1928–1936	3	0	0	3
3	Irina Rodnina / Alexander Zaitsev	Soviet Union (URS)	1972–1980	3	0	0	3
29	Fritzi Burger	Austria (AUT)	1928-1932	0	2	0	2
32	Brian Orser	Canada (CAN)	1984-1988	0	2	0	2
45	Emília Rotter / László Szollás	Hungary (HUN)	1932-1936	0	0	2	2
26	Viktor Petrenko	Soviet Union (URS)\n Unified Team (EUN)	1988-1992	1	0	1	2
19	Carol Heiss	United States (USA)	1956-1960	1	1	0	2
36	Michelle Kwan	United States (USA)	1998-2002	0	1	1	2
46	Aliona Savchenko / Robin Szolkowy	Germany (GER)	2010-2014	0	0	2	2
33	Elvis Stojko	Canada (CAN)	1994-1998	0	2	0	2
23	Jeannette Altwegg	Great Britain (GBR)	1948-1952	1	0	1	2
34	Phyllis Johnson	Great Britain (GBR)	1908-1920	0	1	1	2
27	Beatrix Loughran	United States (USA)	1924–1932	0	2	1	3
21	Kim Yu-na	South Korea (KOR)	2010–2014	1	1	0	2
