index	name	pos.	caps	goals	club
0	Olle Åhlund	MF	1	0	Degerfors IF
1	"Sune ""Mona-Lisa"" Andersson"	MF	5	0	AIK Solna
5	"Gunnar ""Il Professore"" Gren"	FW	5	5	IFK Göteborg
6	"Sven ""Jack"" Jacobsson"	MF	1	0	GAIS Göteborg
7	"Egon ""Hemliga"" Jönsson"	FW	1	0	Malmö FF
8	Börje Leander	MF	1	0	AIK Solna
9	"Nils ""Lidas""/""Greven"" Liedholm"	FW	6	5	IFK Norrköping
11	Lennart Lindskog	FW	1	0	Degerfors IF
12	"Malte ""Svarta Blixten"" Mårtensson"	FW	2	0	Hälsingborgs IF
15	Ove Nilsson	GK	1	0	Djurgårdens IF Stockholm
16	Stellan Nilsson	FW	4	0	Malmö FF
20	Stig Nyström	FW	1	1	Djurgårdens IF Stockholm
22	"Birger ""Bian"" Rosengren"	MF	1	0	IFK Norrköping
23	Rolf Svensson	FW	1	0	Hälsingborgs IF
24	Börje Tapper	FW	1	1	Malmö FF
