index	#	Date	Venue	Opponent	Score	Result	Competition
34	35	14 October 2009	HSH Nordbank Arena, Hamburg, Germany	Finland	1–1	1–1	FIFA World Cup 2010 qualifying
42	43	2 September 2011	Veltins-Arena, Gelsenkirchen, Germany	Austria	3–0	6–2	UEFA Euro 2012 qualifying
2	3	26 March 2005	Bežigrad Stadium, Ljubljana, Slovenia	Slovenia	1–0	1–0	Friendly
21	22	11 October 2006	Tehelné Pole Stadion, Bratislava, Slovakia	Slovakia	4–1	4–1	UEFA Euro 2008 qualifying
3	4	4 June 2005	Windsor Park, Belfast, Northern Ireland	Northern Ireland	4–1	4–1	Friendly
28	29	6 September 2008	Rheinpark Stadion, Vaduz, Liechtenstein	Liechtenstein	1–0	6–0	FIFA World Cup 2010 qualifying
23	24	17 November 2007	AWD Arena, Hanover, Germany	Cyprus	3–0	4–0	UEFA Euro 2008 qualifying
31	32	28 March 2009	Zentralstadion, Leipzig, Germany	Liechtenstein	4–0	4–0	FIFA World Cup 2010 qualifying
24	25	26 March 2008	St. Jakob Park, Basel, Switzerland	Switzerland	4–0	4–0	Friendly
22	23	12 September 2007	Rhein-Energie Stadion, Cologne, Germany	Romania	3–1	3–1	Friendly
35	36	18 November 2009	Veltins-Arena, Gelsenkirchen, Germany	Ivory Coast	1–0	2–2	Friendly
38	39	13 June 2010	Moses Mabhida Stadium, Durban, South Africa	Australia	1–0	4–0	FIFA World Cup 2010
32	33	29 May 2009	Shanghai Stadium, Shanghai, China	China PR	1–1	1–1	Friendly
19	20	6 September 2006	Stadio Olimpico, Serravalle, San Marino	San Marino	10–0	13–0	UEFA Euro 2008 qualifying
33	34	9 September 2009	AWD-Arena, Hanover, Germany	Azerbaijan	4–0	4–0	FIFA World Cup 2010 qualifying
36	37	18 November 2009	Veltins-Arena, Gelsenkirchen, Germany	Ivory Coast	2–2	2–2	Friendly
26	27	8 June 2008	Wörthersee Stadion, Klagenfurt, Austria	Poland	2–0	2–0	UEFA Euro 2008
13	14	24 June 2006	Allianz Arena, Munich, Germany	Sweden	1–0	2–0	FIFA World Cup 2006
