index	Pos	No	Rider	Bike	Laps	Time	Grid	Points
0	1	21	Troy Bayliss	Ducati 999 F07	22	34:11.276	1	25.0
1	2	52	James Toseland	Honda CBR1000RR	22	+2.096	2	20.0
5	6	57	Lorenzo Lanzi	Ducati 999 F07	22	+24.765	10	10.0
7	8	76	Max Neukirchner	Suzuki GSX-R1000 K6	22	+34.614	7	8.0
8	9	10	Fonsi Nieto	Kawasaki ZX-10R	22	+35.339	6	7.0
9	10	99	Steve Martin	Honda CBR1000RR	22	+36.238	11	6.0
11	12	25	Josh Brookes	Honda CBR1000RR	22	+47.078	12	4.0
12	13	38	Shinichi Nakatomi	Yamaha YZF-R1	22	+58.571	17	3.0
13	14	96	Jakub Smrž	Ducati 999 F05	22	+1:08.000	14	2.0
15	16	73	Christian Zaiser	MV Agusta F4 1000R	22	+1:28.374	19	
18	Ret	55	Régis Laconi	Kawasaki ZX-10R	16	Retirement	9	
19	Ret	84	Michel Fabrizio	Honda CBR1000RR	5	Retirement	13	
