index	Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
0	1	UE Lleida	38	57+19	23	11	4	56	20	36
1	2	Real Valladolid	38	52+14	20	12	6	50	30	20
5	6	Real Madrid B	38	42+4	15	12	11	57	41	16
7	8	Barcelona B	38	39+1	15	9	14	59	55	4
8	9	CP Mérida	38	39+1	13	13	12	43	42	1
9	10	CD Castellón	38	36-2	13	10	15	40	45	-5
11	12	SD Compostela	38	35-3	10	15	13	35	39	-4
12	13	Villarreal CF	38	34-4	13	8	17	38	51	-14
13	14	Palamós CF	38	33-5	12	9	17	33	50	-17
15	16	SD Eibar	38	32-6	10	12	16	33	44	-11
18	19	Sestao	38	24-14	7	10	21	29	54	-25
19	20	CE Sabadell FC 1	38	24-14	8	8	22	30	57	-27
