index	City/Municipality	City/Municipality.1	No. of\nBarangays	Area\n(hectares)	Population\n(2010)	Income Class\n(2010)	Mayor\n(2010–2013)
2		Bato	33	10,712	48,306	3rd class	Jeanette R. Bernaldez
29		Ragay	38	40,022	54,934	1st class	Ricardo B. Aquino
3		Bombon	8	2,873	15,437	5th class	Ma. Luisa DC. Angeles
22		Nabua	42	9,620	80,111	1st class	Delia C. Simbulan
25		Pamplona	17	8,060	34,471	4th class	Gimeno A. Imperial
27		Pili	26	12,625	82,307	1st class	Tomas P. Bongalonta, Jr.
21		Minalabac	25	12,610	48,162	3rd class	Leovegildo D. Basmayor Jr.
35		Tigaon	23	7,235	48,611	3rd class	Arnulf Bryan B. Fuentebella
19		Magarao	15	4,497	24,274	4th class	Salvador A. Senar Jr.
24		Ocampo	25	11,833	43,523	3rd class	Fidel C. Carido
30		Sagñay	19	15,476	31,314	4th class	Evelyn B. Fuentebella
17		Libmanan	75	34,282	100,002	1st class	Marilyn A. Jimenez
28		Presentacion	18	14,380	20,023	4th class	Joey A. Deleña
34		Siruma	22	14,127	17,050	4th class	Sandy S. Ondis Sr.
