index	City/Municipality	City/Municipality.1	No. of\nBarangays	Area\n(hectares)	Population\n(2010)	Income Class\n(2010)	Mayor\n(2010–2013)
0		Baao	30	10,663	54,971	3rd class	Melquiades I. Gaite
1		Balatan	17	9,309	28,699	4th class	Ernesto A. Bagasbas
4		Buhi	38	24,665	73,809	1st class	Rey P. Lacoste
5		Bula	33	16,764	68,011	2nd class	Benjamin S. Decena
6		Cabusao	9	4,680	18,049	5th class	Nebb P. Santiago
7		Calabanga	48	16,380	78,119	1st class	Eduardo Severo
8		Camaligan	13	468	22,254	5th class	Marilou Marquez-Hirose
9		Canaman	24	4,327	32,390	4th class	Emmanuel S. Requejo
10		Caramoan	49	27,600	44,945	2nd class	Constantino H. Cordial, Jr.
11		Del Gallego	32	20,831	23,064	4th class	Lydia B. Abarientos
12		Gainza	8	1,475	10,345	5th class	William Angeles Abilay
13		Garchitorena	23	24,380	25,204	4th class	Solon O.Demetriou Jr.
14		Goa	34	20,618	58,503	2nd class	Antero S. Lim
15		Iriga City	36	13,735	105,919	4th class	Madeleine A. Gazmen
16		Lagonoy	38	37,790	51,814	2nd class	Delfin R. Pilapil Jr.
18		Lupi	38	19,912	30,118	3rd class	Raul M. Matamorosa
20		Milaor	20	3,364	28,474	4th class	Rogelio A. Flores
23	25px	Naga City	27	8,448	174,931	2nd class	John G. Bongat
26		Pasacao	19	14,954	45,946	3rd class	Asuncion V. Arsenio
31		San Fernando	22	7,176	33,281	4th class	"Eugenio ""jun"" Lagasca, Jr."
32		San Jose	29	4,307	38,523	4th class	Antonio B. Chavez
33		Sipocot	46	24,343	64,042	1st class	Rogenor R. Astor
36		Tinambac	44	35,162	62,435	1st class	Ruel T. Velarde
