index	Pick	Player	Team	Position	School
18	19	Eddie Zosky	Toronto Blue Jays	SS	Fresno State University
13	14	Steve Hosey	San Francisco Giants	OF	Fresno State University
17	18	Willie Greene	Pittsburgh Pirates	SS	Jones County HS (Gray, GA)
3	4	Jeff Jackson	Philadelphia Phillies	OF	Simeon HS (Chicago, IL)
22	23	Mo Vaughn	Boston Red Sox	1B	Seton Hall University
10	11	Calvin Murray	Cleveland Indians	3B	W.T. White High School (Dallas, TX)
19	20	Scott Bryant	Cincinnati Reds	OF	University of Texas
20	21	Greg Gohr	Detroit Tigers	RHP	Santa Clara University
4	5	Donald Harris	Texas Rangers	OF	Texas Tech University
2	3	Roger Salkeld	Seattle Mariners	RHP	Saugus (CA) HS
