index	Edition	Year	Men's winner	Time	Women's winner	Time.1
27	3rd	October 24, 1982	Lucien Rottiers (BEL)	2:16:27	Ann Rindt (NED)	2:59:07
3	27th	October 10, 2010	Charles Kamathi (KEN)	2:07:38	Atsede Habtamu (ETH)	2:25:35
19	11th	October 9, 1994	Aiduna Aitnafa (ETH)	2:11:37	Jeanne Jansen (NED)	2:45:03
23	7th	October 14, 1990	John Vermeule (NED)	2:15:03	Mieke Hombergen (NED)	2:44:59
22	8th	October 13, 1991	Vladimir Kotov (BLR)	2:14:03	Mieke Hombergen (NED)	2:46:28
21	9th	October 11, 1992	Andy Green (ENG)	2:15:09	Adriana Andrescu (ROU)	2:37:18
20	10th	October 10, 1993	Mohamed Kamel Selmi (ALG)	2:12:47	Liesbeth van Ast (NED)	2:40:57
18	12th	October 8, 1995	Pyotro Sarafinyuk (UKR)	2:16:40	Carla Beurskens (NED)	2:35:16
10	20th	October 12, 2003	Willy Cheruiyot (KEN)	2:09:05	Vivian Ruijters (NED)	2:36:36
25	5th	October 12, 1986	Kim Reynierse (NED)	2:15:13	Heather MacDuff (ENG)	2:55:39
17	13th	October 13, 1996	Tumo Turbo (ETH)	2:11:26	Simona Staicu (ROU)	2:37:47
14	16th	October 10, 1999	David Ngetich (KEN)	2:09:24	Nadezhda Wijenberg (NED)	2:28:45
