index	Edition	Year	Men's winner	Time	Women's winner	Time.1
0	30th	October 13, 2013	Yemane Tsegay (ETH)	2:09:11	Ruth Wanjiru (KEN)	2:34:48
1	29th	October 14, 2012	Dickson Kiptolo Chumba (KEN)	2:05:46	Aberume Mekuria (ETH)	2:27:20
2	28th	October 9, 2011	Jafred Chirchir Kipchumba (KEN)	2:05:48	Georgina Rono (KEN)	2:24:33
4	26th	October 11, 2009	Geoffrey Mutai (KEN)	2:07:01	Beata Naigambo (NAM)	2:31:01
5	25th	October 12, 2008	Geoffrey Mutai (KEN)	2:07:49	Lydia Kurgat (KEN)	2:33:39
6	24th	October 14, 2007	Philip Singoei (KEN)	2:07:57	Lydia Kurgat (KEN)	2:39:21
7	23rd	October 8, 2006	Philip Singoei (KEN)	2:08:18	Agnes Hijman (NED)	2:54:36
8	22nd	October 9, 2005	Boniface Usisivu (KEN)	2:08:45	Tatyana Perepelkina (RUS)	2:38:27
9	21st	October 10, 2004	Willy Cheruiyot (KEN)	2:09:20	Annelieke van der Sluijs (NED)	2:37:33
11	19th	October 13, 2002	Willy Cheruiyot (KEN)	2:10:12	Marleen van Reusel (BEL)	2:54:23
12	18th	October 14, 2001	Samuel Tangus (KEN)	2:12:47	Valentina Poltavskaya (RUS)	2:54:30
13	17th	October 8, 2000	Willy Cheruiyot (KEN)	2:09:55	Wilma van Onna (NED)	2:39:55
15	15th	October 11, 1998	Grzegorz Gajdus (POL)	2:10:51	Simona Staicu (ROU)	2:36:05
16	14th	October 12, 1997	John Kiprono (KEN)	2:11:51	Mieke Hombergen (NED)	2:36:14
24	6th	October 16, 1988	Jean-Pierre Paumen (BEL)	2:14:54	Heather MacDuff (ENG)	2:34:26
26	4th	September 23, 1984	Harrie Driessen (NED)	2:22:17	Annelies van Dijk (NED)	3:12:13
28	—	1961–1981	Marathon Race Not Held	—	—	—
29	2nd	July 23, 1960	Frans Künen (NED)	2:26:07 NR	—	—
30	1st	July 4, 1959	Fritz Schöning (FRG)	2:45:05	—	—
