index	Pos	Rider	Manufacturer	Time/Retired	Points
27	28	Cristophe Cogan	Honda	+1 Lap	
3	4	Olivier Jacque	Honda	+18.607	13.0
19	20	Osamu Miyazaki	Aprilia	+1:32.873	
23	24	Sete Gibernau	Honda	+1:34.931	
22	23	Franco Battaini	Aprilia	+1:34.363	
21	22	Yasumasa Hatakeyama	Honda	+1:34.039	
20	21	Davide Bulega	Aprilia	+1:32.902	
18	19	Alessandro Antonello	Aprilia	+1:07.099	
10	11	Massimo Ottobre	Aprilia	+51.563	5.0
25	26	José Barresi	Yamaha	+1 Lap	
17	18	Olivier Petrucciani	Aprilia	+1:06.945	
14	15	Jurgen vd Goorbergh	Honda	+52.569	1.0
