index	P.S. #	School Name	Neighborhood	Low Grade	High Grade	Year Closed	Building Status
62	202	Grover Cleveland High School	Front Park	9	12	2011	Houses The International Preparatory School
27	40	School 40	Babcock	PreK	6	2006	Houses The Academy School 171
53	85	School 85	Kensington	K	4	1976	Houses Community Charter School
21	28	Triangle Academy	Triangle	K	8	1949	Houses Buffalo Public Schools' Department of Science
26	36	Days Park Early Childhood Center	Allentown	PreK	4	2009	Houses Elmwood Village Charter School
35	51	Black Rock Academy	Black Rock	PreK	8	2005	Vacant
2	4	Harbor Heights Elementary School	First Ward	K	8	2002	Vacant
43	62	School 62	MLK Park	K	8	1980	Houses Crucial Human Services
49	77	School 77	Front Park	PreK	4	2006	Vacant
31	47	School 47	Willert Park	PreK	8	1978	Demolished
59	142	Fulton Academic Complex	Perry	K	8	1982	Opportunity Center
40	58	School 58	Broadway-Fillmore	K	8	1961	Demolished
57	93	School 93	Hamlin Park	K	4	1975	Community Action Organization
47	73	School 73	Columbus	K	8	1970	Demolished
38	56	School 56	Albright	PreK	8	2007	Vacant
33	49	School 49	Front Park	K	8	1980	Community Services building
46	71	WEB Early Childhood Center	Schiller Park	PreK	4	2007	Vacant
48	75	School 75	Emslie	K	8	1979	Vacant
44	63	Campus North School	LaSalle	PreK	8	2007	Vacant
54	86	St. Lawrence Academy	Starin Central	PreK	4	2004	Houses BPS' Adult Learning Program
3	5	School 5	Kaisertown	K	8	1955	Demolished
34	50	School 50	Emsilie	Special	Education	1975	Demolished
39	57	Broadway Village Elementary School	Broadway-Fillmore	PreK	6	2003	Vacant
10	13	School 13	Downtown	K	12	2003	Private Apartments/Office Space
61	192	Buffalo Traditional School	Masten Park	5	12	2005	Houses Buffalo Academy for Visual & Performing Arts
19	25	School 25	Babcock	K	8	1949	Demolished
