index	Stage	Date	Route	Terrain	Length	Winner
14	13	4 July	Perpignan – Andorra	Stage with mountain(s)	170 km (110 mi)	Julio Jiménez (ESP)
13	12	3 July	Montpellier – Perpignan	Plain stage	174 km (108 mi)	Jo de Roo (NED)
17	16	8 July	Luchon – Pau	Stage with mountain(s)	197 km (122 mi)	Federico Bahamontes (ESP)
3	3B	24 June	Forest – Forest	Team time trial	21 km (13 mi)	Kas-Kaskol
21	20	12 July	Brive – Puy de Dôme	Stage with mountain(s)	217 km (135 mi)	Julio Jiménez (ESP)
10	10A	1 July	Monaco – Hyères	Plain stage	187 km (116 mi)	Jan Janssen (NED)
18	17	9 July	Peyrehorade – Bayonne	Individual time trial	43 km (27 mi)	Jacques Anquetil (FRA)
19	18	10 July	Bayonne – Bordeaux	Plain stage	187 km (116 mi)	André Darrigade (FRA)
4	4	25 June	Forest – Metz	Plain stage	292 km (181 mi)	Rudi Altig (GER)
2	3A	24 June	Amiens – Forest	Plain stage	197 km (122 mi)	Bernard Vandekerkhove (BEL)
