index	Medal	Name	Sport	Event	Date
0	Gold	Brahim Asloum	Boxing	Light Flyweight	September 30
1	Gold	Tony Estanguet	Canoeing	Men's slalom C-1	September 18
4	Gold	Félicia Ballanger	Cycling	Women's track time trial	September 16
5	Gold	Félicia Ballanger	Cycling	Women's sprint	September 17
6	Gold	Miguel Martinez	Cycling	Men's cross-country	September 24
7	Gold	Jean-Noël Ferrari, Brice Guyart,\nPatrice Lhotellier, Lionel Plumenail	Fencing	Men's team foil	September 22
8	Gold	David Douillet	Judo	Men's +100 kg	September 22
9	Gold	Séverine Vandenhende	Judo	Women's 63 kg	September 18
10	Gold	Franck Dumoulin	Shooting	Men's 10 m air pistol	September 16
11	Gold	Michel Andrieux, Jean-Christophe Rolland	Rowing	Men's coxless pair	September 23
12	Gold	Jean-Christophe Bette, Xavier Dorfman,\nYves Hocdé, Laurent Porchier	Rowing	Men's coxless four	September 24
13	Silver	France national basketball team\n\n\nJim Bilba\n \nCrawford Palmer\n\n\n\n\nYann Bonato\n \nAntoine Rigaudeau\n\n\n\n\nMakan Dioumassi\n \nStéphane Risacher\n\n\n\n\nLaurent Foirest\n \nLaurent Sciarra\n\n\n\n\nThierry Gadou\n \nMoustapha Sonko\n\n\n\n\nCyril Julian\n \nFrédéric Weis	Basketball	Men's competition	October 1
14	Silver	Brigitte Guibal	Canoeing	Women's slalom K-1	September 18
15	Silver	Florian Rousseau	Cycling	Men's sprint	September 20
16	Silver	Marion Clignet	Cycling	Women's individual pursuit	September 18
18	Silver	Jean-François Di Martino, Hugues Obry, Éric Srecki	Fencing	Men's team épée	September 18
20	Silver	Mathieu Gourdain, Julien Pillet,\nCédric Séguin, Damien Touya	Fencing	Men's team sabre	September 24
23	Silver	Larbi Benboudaoud	Judo	Men's 66 kg	September 16
26	Silver	Roxana Maracineanu	Swimming	Women's 200 m backstroke	September 22
32	Bronze	Stéphane Traineau	Judo	Men's 100 kg	September 21
33	Bronze	Thibaud Chapelle, Pascal Touron	Rowing	Men's lightweight double sculls	September 24
36	Bronze	Arnaud Di Pasquale	Tennis	Men's singles	September 28
37	Bronze	Pascal Gentil	Taekwondo	Men's +80 kg	September 30
