index	Channel	Definition	Organisation	Ownership	Notes
0	ABC1	HD	Australian Broadcasting Corporation	Government	
1	ABC2	SD	Australian Broadcasting Corporation	Government	
4	SBS One	SD	Special Broadcasting Service	Government	Simulcast in high definition on SBS HD
5	SBS Two	SD	Special Broadcasting Service	Government	
8	7mate	SD	Seven Network	Private	
9	9	SD	WIN Television	Private	Regional affiliate of the Nine Network in Brisbane
11	GO	SD	Nine Network	Private	
12	GEM	SD	Nine Network	Private	
14	One HD	HD	Network Ten	Private	
15	Eleven	SD	Network Ten	Private	
