index	Pos	No	Driver	Constructor	Laps	Time/Retired	Grid	Points
0	1	4	Robert Kubica	BMW Sauber	70	1:36:24.227	2	10.0
1	2	3	Nick Heidfeld	BMW Sauber	70	+16.495	8	8.0
5	6	11	Jarno Trulli	Toyota	70	+47.775	14	3.0
7	8	15	Sebastian Vettel	Toro Rosso-Ferrari	70	+54.120	19	1.0
8	9	23	Heikki Kovalainen	McLaren-Mercedes	70	+54.433	7	
9	10	7	Nico Rosberg	Williams-Toyota	70	+54.749	5	
11	12	10	Mark Webber	Red Bull-Renault	70	+1:11.299	10	
12	13	14	Sébastien Bourdais	Toro Rosso-Ferrari	69	+1 Lap	18	
13	Ret	21	Giancarlo Fisichella	Force India-Ferrari	51	Spun off	17	
15	Ret	5	Fernando Alonso	Renault	44	Spun off	4	
18	Ret	22	Lewis Hamilton	McLaren-Mercedes	19	Collision	1	
19	Ret	20	Adrian Sutil	Force India-Ferrari	13	Gearbox	16	
