index	Year	Round	Against	Score	Scorers
33	1970	Group C	England	1–0	Jairzinho
58	1986	Group D	Algeria	1–0	Careca
32	1970	Group C	Czechoslovakia	4–1	Rivelino, Pelé, Jairzinho (2)
90	2006	Round of 16	Ghana	3–0	Adriano, Ronaldo, Zé Roberto
45	1978	Group C	Sweden	1–1	Reinaldo
55	1982	Group C Round 2	Argentina	3–1	Zico, Serginho, Júnior
66	1994	Group B	Russia	2–0	Romário, Raí
86	2002	Final	Germany	2–0	Ronaldo (2)
89	2006	Group F	Japan	4–1	Ronaldo (2), Juninho, Gilberto
59	1986	Group D	Northern Ireland	3–0	Careca (2), Josimar
81	2002	Group C	China PR	4–0	Roberto Carlos, Rivaldo, Ronaldinho, Ronaldo
67	1994	Group B	Cameroon	3–0	Romário, Márcio Santos, Bebeto
78	1998	Semi-Final	Netherlands	1–1 (AET)	Ronaldo
46	1978	Group C	Spain	0–0	
77	1998	Quarter-Final	Denmark	3–2	Bebeto, Rivaldo (2)
27	1962	Semi-Final	Chile	4–2	Garrincha (2), Vavá (2)
70	1994	Quarter-Final	Netherlands	3–2	Romário, Bebeto, Branco
40	1974	Group B	Zaire	3–0	Jairzinho, Rivelino, Valdomiro
10	1950	Group A	Yugoslavia	2–0	Ademir, Zizinho
2	1934	Round 1	Spain	1–3	Leônidas
39	1974	Group B	Scotland	0–0	
31	1966	Group C	Portugal	1–3	Rildo
52	1982	Group F	Soviet Union	2–1	Sócrates, Éder
19	1958	Group D	Soviet Union	2–0	Vavá (2)
91	2006	Quarter-Final	France	0–1	
38	1974	Group B	Yugoslavia	0–0	
35	1970	Quarter-Final	Peru	4–2	Rivelino, Tostão (2), Jairzinho
36	1970	Semi-Final	Uruguay	3–1	Clodoaldo, Jairzinho, Rivelino
92	2010	Group G	North Korea	2–1	Maicon, Elano
94	2010	Group G	Portugal	0–0	
74	1998	Group A	Morocco	3–0	Ronaldo, Rivaldo, Bebeto
56	1982	Group C Round 2	Italy	2–3	Sócrates, Falcão
96	2010	Quarter-Final	Netherlands	1–2	Robinho
44	1974	Bronze Final	Poland	0–1	
54	1982	Group F	New Zealand	4–0	Zico (2), Falcão, Serginho
23	1962	Group C	Mexico	2–0	Pelé, Zagallo
34	1970	Group C	Romania	3–2	Pelé (2), Jairzinho
83	2002	Round of 16	Belgium	2–0	Rivaldo, Ronaldo
