index	Year	Round	Against	Score	Scorers
0	1930	Group B	Yugoslavia	1–2	Preguinho
1	1930	Group B	Bolivia	4–0	Moderato (2), Preguinho (2)
3	1938	Round 1	Poland	6–5 (AET)	Leônidas (3), Romeu, Perácio (2)
4	1938	Quarter-Final	Czechoslovakia	1–1 (AET)	Leônidas
5	1938	Quarter-Final (replay)	Czechoslovakia	2–1	Leônidas, Roberto
6	1938	Semi-Final	Italy	1–2	Romeu
7	1938	Bronze Final	Sweden	4–2	Romeu, Leônidas (2), Perácio
8	1950	Group A	Mexico	4–0	Ademir (2), Jair, Baltazar
9	1950	Group A	Switzerland	2–2	Alfredo, Baltazar
11	1950	Final Round	Sweden	7–1	Ademir (4), Chico (2), Maneca
12	1950	Final Round	Spain	6–1	Ademir (2), Jair, Chico (2), Zizinho
13	1950	Final Round	Uruguay	1–2	Friaça
14	1954	Group A	Mexico	5–0	Baltazar, Didi, Pinga (2), Julinho
15	1954	Group A	Yugoslavia	1–1 (AET)	Didi
16	1954	Quarter-Final	Hungary	2–4	Djalma Santos, Julinho
17	1958	Group D	Austria	3–0	Mazzola (2), Nilton Santos
18	1958	Group D	England	0–0	
20	1958	Quarter-Final	Wales	1–0	Pelé
21	1958	Semi-Final	France	5–2	Vavá, Didi, Pelé (3)
22	1958	Final	Sweden	5–2	Vavá (2), Pelé (2), Zagallo
24	1962	Group C	Czechoslovakia	0–0	
25	1962	Group C	Spain	2–1	Amarildo (2)
26	1962	Quarter-Final	England	3–1	Garrincha (2), Vavá
28	1962	Final	Czechoslovakia	3–1	Amarildo, Zito, Vavá
29	1966	Group C	Bulgaria	2–1	Pelé, Garrincha
30	1966	Group C	Hungary	1–3	Tostão
37	1970	Final	Italy	4–1	Pelé, Gérson, Jairzinho, Carlos Alberto
41	1974	Group A Round 2	East Germany	1–0	Rivelino
42	1974	Group A Round 2	Argentina	2–1	Rivelino, Jairzinho
43	1974	Group A Round 2	Netherlands	0–2	
47	1978	Group C	Austria	1–0	Roberto Dinamite
48	1978	Group B Round 2	Peru	3–0	Dirceu (2), Zico
49	1978	Group B Round 2	Argentina	0–0	
50	1978	Group B Round 2	Poland	3–1	Nelinho, Roberto Dinamite (2)
51	1978	Bronze Final	Italy	2–1	Nelinho, Dirceu
53	1982	Group F	Scotland	4–1	Zico, Oscar, Éder, Falcão
57	1986	Group D	Spain	1–0	Sócrates
60	1986	Round of 16	Poland	4–0	Sócrates, Josimar, Edinho, Careca
61	1986	Quarter-Final	France	1–1 (AET)	Careca
62	1990	Group C	Sweden	2–1	Careca (2)
63	1990	Group C	Costa Rica	1–0	Müller
64	1990	Group C	Scotland	1–0	Müller
65	1990	Round of 16	Argentina	0–1	
68	1994	Group B	Sweden	1–1	Romário
69	1994	Round of 16	United States	1–0	Bebeto
71	1994	Semi-Final	Sweden	1–0	Romário
72	1994	Final	Italy	0–0 (AET)	
73	1998	Group A	Scotland	2–1	César Sampaio, Boyd (OG)
75	1998	Group A	Norway	1–2	Bebeto
76	1998	Round of 16	Chile	4–1	Ronaldo (2), César Sampaio (2)
79	1998	Final	France	0–3	
80	2002	Group C	Turkey	2–1	Ronaldo, Rivaldo
82	2002	Group C	Costa Rica	5–2	Ronaldo (2), Edmílson, Rivaldo, Júnior
84	2002	Quarter-Final	England	2–1	Rivaldo, Ronaldinho
85	2002	Semi-Final	Turkey	1–0	Ronaldo
87	2006	Group F	Croatia	1–0	Kaká
88	2006	Group F	Australia	2–0	Adriano, Fred
93	2010	Group G	Ivory Coast	3–1	Luis Fabiano (2), Elano
95	2010	Round of 16	Chile	3–0	Juan, Luis Fabianho, Robinho
