index	Representative	Title	From	To	Appointed by
27	John Forsyth Jr.	Minister	1856	1858.0	Franklin Pierce
35	Thomas Corwin	Minister	1861	1864.0	
40	Thomas H. Nelson	Minister	1869	1873.0	
38	Marcus Otterbourg	Minister	1867		Andrew Johnson
2	Joel Roberts Poinsett	Minister	1825	1829.0	John Quincy Adams
3	Anthony Butler	Special Diplomatic Agent	1829		
48	Matt Whitaker Ransom	Minister	1895	1897.0	Grover Cleveland
29	Alfred Mordecai	Special Diplomatic Agent	1858		James Buchanan
46	Thomas Ryan	Minister	1889	1893.0	
31	David R. Porter	Special Diplomatic Agent	1859		James Buchanan
32	Robert Milligan McLane	Minister	1859	1860.0	James Buchanan
39	William S. Rosecrans	Minister	1868	1869.0	Andrew Johnson
21	Edward Smith	Special Diplomatic Agent	1852		Millard Fillmore
36	Robert W. Shufelt	Special Diplomatic Agent	1862		Abraham Lincoln
19	George G. Goss	Special Diplomatic Agent	1850	1852.0	
42	Philip Hicky Morgan	Minister	1880	1885.0	Rutherford B. Hayes
49	Powell Clayton	Minister	1897	1898.0	
26	Richard S. Spofford	Special Diplomatic Agent	1854		Franklin Pierce
22	Alfred Conkling	Minister	1852	1853.0	Millard Fillmore
13	Wilson Shannon	Minister	1844	1845.0	John Tyler
