index	Pos.	Artist	Single	Year	Sales	Peak
80	81	G.O. Culture	Darla_dirladada	1993	397,000	1
84	85	Jean-Philippe Audin & Diego Modena	Song of Ocarina	1991	379,000	1
33	34	Lagaf'	La Zoubida	1991	625,000	1
81	82	Spice Girls	Spice Up Your Life	1997	397,000	3
93	94	2 Unlimited	No Limit	1993	357,000	1
17	18	Los del Río	Macarena	1996	910,000	1
36	37	Nathalie Cardone	Hasta Siempre	1997	608,000	4
82	83	Elton John	Can You Feel The Love Tonight	1994	391,000	1
69	70	David Charvet	Should I Leave	1997	452,000	3
65	66	François Feldman	Joy	1991	468,000	1
92	93	Patrick Bruel	Alors regarde	1990	358,000	3
39	40	Britney Spears	... Baby One More Time	1999	578,000	1
56	57	Bellini	Samba de Janeiro	1997	481,000	3
52	53	Puff Daddy & Faith Evans	I'll Be Missing You	1997	492,000	2
51	52	Emilia	Big Big World	1999	496,000	2
32	33	Robert Miles	Children	1996	642,000	1
31	32	Brandy & Monica	The Boy Is Mine	1998	662,000	2
44	45	Poetic Lover	Prenons notre temps	1997	532,000	5
78	79	Worlds Apart	Je te donne	1996	408,000	3
10	11	Gala	Freed from Desire	1996	1,013,000	1
2	3	Lou Bega	Mambo No. 5	1999	1,532,000	1
73	74	Mark Snow	The X-Files	1996	425,000	1
97	98	Organiz'	I Never Knew Love Like This Before	1999	352,000	5
62	63	2Be3	Partir un jour	1996	471,000	2
19	20	Zebda	Tomber la chemise	1999	868,000	1
35	36	Ménélik & Imane D	Bye bye	1998	613,000	5
94	95	Alliance Ethnik	Respect	1995	357,000	2
27	28	Spice Girls	Wannabe	1996	742,000	1
46	47	Indians Sacred Spirit	Yeha-Noha	1995	528,000	1
38	39	Eiffel 65	Move Your Body	1999	589,000	1
67	68	Youssou N'Dour & Neneh Cherry	7 Seconds	1994	465,000	1
99	100	Snap!	Rhythm Is a Dancer	1992	349,000	1
54	55	Manau	Mais qui est la belette ?	1999	490,000	1
95	96	Nirvana	Smells Like Teen Spirit	1992	356,000	1
88	89	Céline Dion	Un garçon pas comme les autres (Ziggy)	1993	365,000	2
40	41	Lara Fabian	Tout	1997	566,000	5
48	49	Bryan Adams	(Everything I Do) I Do It for You	1991	508,000	1
59	60	Janet Jackson	Together Again	1998	475,000	2
23	24	David Hallyday	Tu ne m'as pas laissé le temps	1999	801,000	1
34	35	Tina Arena	Aller plus haut	1999	617,000	2
