index	Pos.	Artist	Single	Year	Sales	Peak
0	1	Daniel Lavoie, Patrick Fiori & Garou	Belle	1998	2,221,000	1
1	2	Elton John	Candle in The Wind	1997	2,029,000	1
3	4	Wes	Alane	1997	1,418,000	1
4	5	Manau	La Tribu de Dana	1998	1,415,000	1
5	6	Ricky Martin	Un, Dos, Tres	1997	1,400,000	1
6	7	Florent Pagny	Savoir aimer	1997	1,234,000	1
7	8	Aqua	Barbie Girl	1997	1,215,000	1
8	9	Larusso	Tu m'oublieras	1998	1,209,000	1
9	10	Céline Dion	"The Reason / ""My Heart Will Go On"""	1998	1,197,000	1
11	12	Eiffel 65	Blue (Da Ba Dee)	1999	1,001,000	1
12	13	Carrapicho	Tic, Tic Tac	1996	980,000	1
13	14	Andrea Bocelli	Con te partirò	1997	980,000	1
14	15	Lââm	Chanter pour ceux qui sont loin de chez eux	1998	963,000	2
15	16	Céline Dion	Pour que tu m'aimes encore	1995	955,000	1
16	17	Moos	Au nom de la rose	1999	918,000	1
18	19	Andrea Bocelli & Hélène Ségara	Vivo per lei (je vis pour elle)	1998	874,000	1
20	21	Nomads	Yakalelo	1998	846,000	2
21	22	Khaled	Aïcha	1996	824,000	1
22	23	Hermes House Band	I Will Survive	1998	812,000	3
24	25	Will Smith	Men in Black	1997	783,000	1
25	26	Cher	Believe	1999	764,000	1
26	27	Jordy	Dur dur d'être bébé !	1992	751,000	1
28	29	Fugees	Killing Me Softly	1996	674,000	1
29	30	Coolio	Gangsta's Paradise	1995	672,000	1
30	31	Mylène Farmer	Désenchantée	1991	665,000	1
37	38	Alliage & Boyzone	Te garder près de moi	1997	607,000	3
41	42	Hélène Ségara	Il y a trop de gens qui t'aiment	1999	565,000	1
42	43	Ricky Martin	La Copa da la Vida	1998	563,000	1
43	44	Des'ree	Life	1998	555,000	2
45	46	Coumba Gawlo	Pata pata	1998	529,000	2
47	48	Lââm	Jamais loin de toi	1999	518,000	5
49	50	Céline Dion	Je sais pas	1995	506,000	1
50	51	Gala	Let a Boy Cry	1997	497,000	1
53	54	Hanson	MMMBop	1997	490,000	4
55	56	The Cranberries	Zombie	1995	484,000	1
57	58	John Scatman	Scatman (Ski Ba Bop Ba Dop Bop)	1995	479,000	1
58	59	Regg'Lyss	Mets de l'huile	1993	476,000	1
60	61	Modern Talking	You're My Heart, You're My Soul	1998	475,000	3
61	62	Johnny Hallyday	Vivre pour le meilleur	1999	471,000	2
63	64	Lara Fabian	Je t'aime	1997	471,000	6
64	65	Madonna	Frozen	1998	469,000	2
66	67	Patrick Bruel	Qui a le droit... (live)	1991	466,000	1
68	69	Shania Twain	Man! I Feel like a Woman!	1999	459,000	3
70	71	Madonna	Don't Cry for Me Argentina	1997	447,000	1
71	72	Les Inconnus	Auteuil, Neuilly, Passy	1991	428,000	1
72	73	Freddie Mercury	Living on My Own 1993	1993	426,000	1
74	75	Pow woW	Le Chat	1992	423,000	1
75	76	Félix Gray & Didier Barbelivien	Il faut laisser le temps au temps	1990	420,000	1
76	77	Felicidad	Dam dam deo	1997	410,000	3
77	78	Britney Spears	(You Drive Me) Crazy	1999	409,000	2
79	80	Barbra Streisand & Céline Dion	Tell Him	1997	400,000	4
83	84	Enigma	Sadeness (Part I)	1990	385,000	1
85	86	Boris	Soirée disco	1996	376,000	1
86	87	Ricky Martin	Te Extraño, Te Olvido, Te Amo	1997	373,000	4
87	88	Reel 2 Real	I Like to Move It	1994	367,000	1
89	90	Liane Foly	La vie ne m'apprend rien	1999	364,000	3
90	91	Fool's Garden	Lemon Tree	1996	362,000	3
91	92	Phénoménal Club	Il est vraiment phénoménal	1997	359,000	7
96	97	IAM	Je danse le Mia	1994	352,000	1
98	99	2Be3	Toujours là pour toi	1997	351,000	4
