index	Ranking	Company	Industry	Revenue (USD billions)	FY	Capitalization (USD billions)	Employees	Listing	Headquarters	CEO
46	47	Nippon Telegraph and Telephone	Telecommunications	$113	March 31, 2013	$73	205,000	TYO: 9432	Tokyo	Norio Wada
57	57	BASF	Chemicals	$103	December 31, 2012	$80	113,262	FWB: BAS	Ludwigshafen	Kurt Bock
47	48	SK Group	Conglomerate	$112	December 31, 2012		52,377	KRX: 003600	Seoul	Choi Tae-Won
2	3	Exxon Mobil Corporation	Oil and gas	$453	December 31, 2012	$406	76,900	NYSE: XOM	Irving, Texas	Rex W. Tillerson
38	39	PDVSA	Oil and gas	$124	December 31, 2012		121,000	—	Caracas	Rafael Ramírez
55	55	Honda	Automotive	$104	March 31, 2013	$69	181,876	TYO: 7267	Tokyo	Takanobu Ito
21	22	Berkshire Hathaway	Conglomerate	$162	December 31, 2012	$201	217,000	NYSE: BRKA; NYSE: BRKB	Omaha, Nebraska	Warren Buffett
26	27	Petrobras	Oil and gas	$144	December 31, 2012	$171	81,000	Bovespa: PETR3; Bovespa: 4	Rio de Janeiro	Maria das Graças Foster
53	54	National Iranian Oil Company	Oil and gas	$110	2011		36,000	—	Tehran	Bijan Namdar Zangeneh
41	42	JX Holdings	Oil and gas	$119	March 31, 2013	$16	24,000	TYO: 5020	Tokyo	—
48	49	Hewlett-Packard	Information Technology	$112	October 31, 2013	$47	267,000	NYSE: HPQ	Palo Alto, California	Meg Whitman
40	41	McKesson	Pharmaceuticals	$122	March 31, 2013	$22	32,000	NYSE: MCK	San Francisco, California	John Hammergren
43	44	Assicurazioni Generali	Financial services	$116	December 31, 2012	$24	85,000	BIT: G	Trieste	Sergio Balbinot; Giovanni Perissinotto
33	34	Trafigura	Commodities	$133	September 30, 2013		8,773	—	Lucerne	Claude Dauphin
27	28	Allianz	Financial services	$140	December 31, 2012	$54	142,000	ISIN: DE0008404005	Munich	Michael Diekmann
60	60	Nissan Motor Company	Automotive	$102	March 31, 2013	$48	128,000	TYO: 7201	Yokohama	Carlos Ghosn
52	53	Tesco	Retail	$110	February 23, 2013	$42	493,000	LSE: TSCO	Cheshunt, Hertfordshire	Philip Clarke
3	4	China National Petroleum Corporation	Oil and gas	$425	December 31, 2012		1,668,072	—	Beijing	Zhou Jiping
36	37	AT&T	Telecommunications	$127	December 31, 2012	$185	256,000	NYSE: T	Dallas, Texas	Randall L. Stephenson
24	25	General Electric	Conglomerate	$147	December 31, 2012	$212	287,000	NYSE: GE	Fairfield, Connecticut	Jeffrey Immelt
10	11	Volkswagen Group	Automotive	$254	December 31, 2012	$77	502,000	ISIN: DE0007664005	Wolfsburg	Martin Winterkorn
59	59	Siemens	Conglomerate	$102	September 30, 2013	$92	405,000	FWB: SIE	Munich	Josef Käser
19	20	Eni	Oil and gas	$167	December 31, 2012	$94	78,000	BIT: ENI	Rome	Paolo Scaroni
34	35	Statoil	Oil and gas	$130	December 31, 2012	$86	23,000	OSE: STL	Stavanger	Helge Lund
63	63	Cardinal Health	Pharmaceuticals	$101	June 30, 2013	$14	40,000	NYSE: CAH	Dublin, Ohio	George Barrett
17	18	Apple	Electronics	$170	September 28, 2013	$410	76,000	NASDAQ: AAPL	Cupertino, California	Tim Cook
