index	STAPLE:	Maize / Corn	Rice	Wheat	Potato	Cassava	Soybean (Green)	Sweet potato	Sorghum	Yam	Plantain
14	Zinc (mg)	2.21	1.09	2.65	0.29	0.34	0.99	0.3	0	0.24	0.14
19	Thiamin (mg)	0.39	0.07	0.30	0.08	0.09	0.44	0.08	0.24	0.11	0.05
3	Protein (g)	9.4	7.1	12.6	2.0	1.4	13.0	1.6	11.3	1.5	1.3
27	Vitamin K1 (μg)	0.3	0.1	1.9	1.9	1.9	0	1.8	0	2.6	0.7
31	Monounsaturated fatty acids (g)	1.25	0.21	0.2	0.00	0.08	1.28	0.00	0.99	0.01	0.03
26	Vitamin E, alpha-tocopherol (mg)	0.49	0.11	1.01	0.01	0.19	0	0.26	0	0.39	0.14
20	Riboflavin (mg)	0.20	0.05	0.12	0.03	0.05	0.18	0.06	0.14	0.03	0.05
25	Vitamin A (IU)	214	0	9	2	13	180	14187	0	138	1127
24	Folate Total (μg)	19	8	38	16	27	165	11	0	23	22
30	Saturated fatty acids (g)	0.67	0.18	0.26	0.03	0.07	0.79	0.02	0.46	0.04	0.14
17	Selenium (μg)	15.5	15.1	70.7	0.3	0.7	1.5	0.6	0	0.7	1.5
22	Pantothenic acid (mg)	0.42	1.01	0.95	0.30	0.11	0.15	0.80	-	0.31	0.26
4	Fat (g)	4.74	0.66	1.54	0.09	0.28	6.8	0.05	3.3	0.17	0.37
