index	Title	Year	Director	Budget	Gross (worldwide)	Notes
39	The Art of War	2000	Christian Duguay	$60 million	$40,400,425	
41	The In Crowd	2000	Mary Lambert	$15 million	$5,217,498	
2	Skin Deep	1989	Blake Edwards		$19,674,852	
48	I'll Be There	2003	Craig Ferguson			
50	Dominion: Prequel to the Exorcist	2005	Paul Schrader	$30 million	$251,495	
44	Angel Eyes	2001	Luis Mandoki	$53 million	$29,715,606	
33	Soldier	1998	Paul W.S. Anderson	$60 million	$14,594,226	
35	Chill Factor	1999	Hugh Johnson	$70 million	$11,263,966	
40	Get Carter	2000	Stephen Kay	$63.6 million	$19,412,993	
27	Diabolique	1996	Jeremiah S. Chechik	$45 million	$17,100,369	
24	Ace Ventura: When Nature Calls	1995	Steve Oedekerk	$30 million	$212,385,533	
53	The Good Shepherd	2006	Robert De Niro	$85 million	$99,480,480	
46	Heist	2001	David Mamet	$39 million	$28,510,652	
3	Major League	1989	David S. Ward	$11 million	$49,797,148	
26	Big Bully	1996	Steve Miner	$15 million	$2,042,530	
36	Liberty Heights	1999	Barry Levinson	$11 million	$3,736,868	
21	Trial by Jury	1994	Heywood Gould		$6,971,777	
10	Pacific Heights	1990	John Schlesinger	$18 million	$44,926,706	
52	Man of the Year	2006	Barry Levinson	$20 million	$41,237,658	
19	Major League II	1994	David S. Ward	$25 million	$30,626,182	
42	The Pledge	2001	Sean Penn	$35 million	$29,419,291	
56	Ace Ventura Jr: Pet Detective	2009	David Mickey Evans	$7.5 million		
17	True Romance	1993	Tony Scott	$13 million	$12,281,551	
31	Major League: Back to the Minors	1998	John Warren	$18 million	$3,572,443	
